"CUSTOMER_ID","NAME","ADDRESS","PHONE","AGE","EMAIL"
"22952","Frank","Apt. 947","9699703573","72","karen57@example.net"
"180115","Jillian","Suite 242","9801157527","76","tracibenton@example.org"
"296898","Justin","Apt. 916","9821177855","76","bbautista@example.com"
"647800","John","Apt. 778","6687945865","73","roseamanda@example.org"
"1051689","Jeffrey","Suite 935","8632211659","45","charles36@example.net"
"1297149","Kimberly","Apt. 279","8698070957","56","ssmith@example.com"
"1681667","Ronald","Apt. 282","8257168007","77","tarawillis@example.org"
"1942424","Deanna","Suite 442","9733099746","80","xstevenson@example.net"
"2364755","Lisa","Apt. 081","9704569962","82","vickiemathis@example.com"
"3666602","Megan","Apt. 316","9477919281","45","todd08@example.net"
"3688710","Brandon","Suite 232","9464896834","51","holmesdevin@example.net"
"4072171","Richard","Apt. 816","9067602338","52","cunninghamjordan@example.org"
"4211844","Whitney","Apt. 337","9697872357","71","caroline25@example.org"
"4277887","Robert","Suite 262","9710969962","31","kevinmays@example.com"
"4302691","Tara","Suite 998","8879722864","49","slindsey@example.com"
"4426291","Tracy","Suite 240","9711559653","41","jcarrillo@example.com"
"4456914","Andrea","Suite 913","6712999597","32",NULL
"4783377","Jasmin","Apt. 612","7921437067","69","noahmccoy@example.net"
"4818693","Mike","Apt. 880","6818632567","69",NULL
"4830145","Kathleen","Suite 981","9209059194","60","bharris@example.com"
"4896147","Franklin","Suite 960","9219927490","66","qross@example.org"
"4928663","Jeanette","Suite 716","9527673945","48","melissaray@example.org"
"5075170","Brendan","Apt. 978","9105941226","81","davidrivera@example.com"
"5320747","Frank","Suite 197","8354359210","34","toddvaughan@example.com"
"5434016","Richard","Suite 973","9203974741","72","coreysawyer@example.org"
"5619468","Tyler","Apt. 115","9524536998","47","delacruzjames@example.com"
"6081721","Drew","Suite 527","9104065203","64","anita42@example.com"
"6107732","Lucas","Suite 385","9585471919","73","melissadennis@example.net"
"6551610","Nicole","Suite 590","9876952438","47","jmoody@example.org"
"6702190","Jeffery","Suite 288","9076714516","77","carrbrandon@example.com"
"6713488","Daniel","Suite 001","8396065416","78",NULL
"7257744","Kathleen","Suite 364","8745489112","80","nwalker@example.net"
"7790111","Brandi","Apt. 444","9571889461","72","hkelley@example.net"
"7984319","Richard","Apt. 917","9838662812","70","katrinabuckley@example.net"
"8309094","Ronald","Suite 993","9736645355","57","lynn91@example.org"
"8369253","Patricia","Apt. 962","8234359487","81",NULL
"8678215","Richard","Suite 590","9293422362","80","bishopchristine@example.org"
"8972437","Christopher","Suite 579","9495606793","50",NULL
"9095877","Katherine","Suite 386","9429016012","68","amandamorris@example.com"
"9340132","Katie","Suite 766","5936634662","76","michaeldavis@example.org"
"9507952","Michael","Apt. 900","9497455676","38","sherylscott@example.org"
"9619190","Lisa","Apt. 701","9222532087","77","kimberlylee@example.com"
"9649694","Sara","Suite 974","9507604196","68","amyjohnson@example.net"
"9847380","Nicholas","Apt. 195","8489609296","48",NULL
"9880047","Anthony","Apt. 281","9204698164","71",NULL
